gcf_id	group	subgroup	genus	species_strain
GCF_000507205.3_ASM50720v2	Terrabacteria group	Firmicutes	Paenibacillus	polymyxa_CR1
GCF_000507225.1_ASM50722v1	PVC group	Chlamydiae	Chlamydia	trachomatis_C/TW-3
GCF_000507245.1_ASM50724v1	Spirochaetes	Spirochaetia	Salinispira	pacifica
GCF_000508205.1_ASM50820v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	sp._TKP
GCF_000508225.1_ASM50822v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	muris_AS145
GCF_000508245.1_ASM50824v1	Terrabacteria group	Tenericutes	Mycoplasma	ovis_str._Michigan
GCF_000508265.1_ASM50826v1	Terrabacteria group	Firmicutes	Bacillus	amyloliquefaciens_LFB112
GCF_000508765.1_ASM50876v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	aeruginosa_LES431
GCF_000510265.1_ASM51026v1	Proteobacteria	Alphaproteobacteria	Candidatus	Endolissoclinum_faulkneri_L5
GCF_000510285.1_ASM51028v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	monteilii_SB3078
GCF_000510305.1_ASM51030v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	aeruginosa_SCV20265
GCF_000510325.1_ASM51032v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	monteilii_SB3101
GCF_000511285.2_ASM51128v2	Proteobacteria	Gammaproteobacteria	Dickeya	solani_RNS_08.23.3.1.A
GCF_000511305.1_ASM51130v1	Terrabacteria group	Actinobacteria	Rhodococcus	pyridinivorans_SB3094
GCF_000511325.1_ASM51132v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	sp._FGI182
GCF_000511355.1_ASM51135v1	Proteobacteria	Alphaproteobacteria	Leisingera	methylohalidivorans_DSM_14336
GCF_000511385.1_ASM51138v1	Proteobacteria	Alphaproteobacteria	Phaeobacter	gallaeciensis_DSM_26640
GCF_000511405.1_ASM51140v1	Terrabacteria group	Firmicutes	Paenibacillus	larvae_subsp._larvae_DSM_25430
GCF_000511895.1_ASM51189v1	Proteobacteria	Betaproteobacteria	Burkholderia	pseudomallei_NCTC_13178
GCF_000511915.1_ASM51191v1	Proteobacteria	Betaproteobacteria	Burkholderia	pseudomallei_NAU20B-16
GCF_000512125.1_ASM51212v1	Proteobacteria	Gammaproteobacteria	Escherichia	albertii_KF1
GCF_000512145.1_ASM51214v2	Spirochaetes	Spirochaetia	Borrelia	parkeri_HR1
GCF_000512165.1_ASM51216v1	Proteobacteria	Gammaproteobacteria	Klebsiella	pneumoniae_subsp._pneumoniae_Kp13
GCF_000512185.1_ASM51218v1	Proteobacteria	Gammaproteobacteria	Aeromonas	hydrophila_4AK4
GCF_000512205.2_ASM51220v2	Proteobacteria	Alphaproteobacteria	Sphingomonas	sanxanigenens_DSM_19645_=_NX02
GCF_000512355.1_ASM51235v1	Proteobacteria	Gammaproteobacteria	Legionella	oakridgensis_ATCC_33761_=_DSM_21215
GCF_000512375.1_ASM51237v1	Proteobacteria	Gammaproteobacteria	Enterobacter	ludwigii
GCF_000512395.1_ASM51239v1	Proteobacteria	Gammaproteobacteria	Pasteurella	multocida_subsp._multocida_str._HB03
GCF_000512735.1_ASM51273v1	Aquificae	Aquificae	Thermocrinis	ruber
GCF_000512745.2_ASM51274v2	Proteobacteria	delta/epsilon subdivisions	Campylobacter	fetus_subsp._venerealis_cfvi03/293
GCF_000512775.2_ASM51277v2	Terrabacteria group	Firmicutes	Bacillus	anthracis_str._A16R
GCF_000512835.2_ASM51283v2	Terrabacteria group	Firmicutes	Bacillus	anthracis_str._A16
GCF_000512895.1_ASM51289v1	Terrabacteria group	Firmicutes	Dehalobacter	restrictus_DSM_9455
GCF_000512915.1_ASM51291v1	FCB group	Bacteroidetes/Chlorobi group	Barnesiella	viscericola_DSM_18177
GCF_000512955.1_ASM51295v1	Terrabacteria group	Firmicutes	Leuconostoc	mesenteroides_KFRI-MG
GCF_000513295.1_MGMSRv2	Proteobacteria	Alphaproteobacteria	Magnetospirillum	gryphiswaldense_MSR-1_v2
GCF_000513595.1_ASM51359v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_serotype_1/2a_str._08-6569
GCF_000513615.1_ASM51361v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_serotype_4b_str._81-0861
GCF_000513635.1_ASM51363v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_serotype_1/2a_str._08-6997
GCF_000513655.1_ASM51365v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_serotype_1/2a_str._10-0815
GCF_000513675.1_ASM51367v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_serotype_1/2a_str._10-1047
GCF_000513695.1_ASM51369v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_serotype_1/2a_str._88-0478
GCF_000517305.1_ASM51730v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	cichorii_JBC1
GCF_000517365.1_ASM51736v1	Terrabacteria group	Tenericutes	Spiroplasma	mirum_ATCC_29335
GCF_000517405.1_ASM51740v1	Proteobacteria	Gammaproteobacteria	Candidatus	Sodalis_pierantonius_str._SOPE
GCF_000517425.1_ASM51742v1	Proteobacteria	Gammaproteobacteria	Sodalis	praecaptivus
GCF_000517565.1_ASM51756v1	Proteobacteria	delta/epsilon subdivisions	Desulfurella	acetivorans_A63
GCF_000517605.1_ASM51760v1	Proteobacteria	Alphaproteobacteria	Rhizobium	leguminosarum_bv._trifolii_WSM1689
GCF_000520015.2_ASM52001v2	Proteobacteria	Gammaproteobacteria	Chania	multitudinisentens_RB-25
GCF_000520035.1_ASM52003v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_O145:H28_str._RM13514
GCF_000520055.1_ASM52005v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_O145:H28_str._RM13516
GCF_000520875.1_ASM52087v1	Proteobacteria	Alphaproteobacteria	Rhizobium	leguminosarum_bv._trifolii_CB782
GCF_000520895.1_ASM52089v1	Proteobacteria	Betaproteobacteria	Burkholderia	pseudomallei_MSHR511
GCF_000521505.1_ASM52150v1	Proteobacteria	Betaproteobacteria	Advenella	mimigardefordensis_DPN7
GCF_000521525.1_ASM52152v1	Proteobacteria	Gammaproteobacteria	Buchnera	aphidicola_str._USDA_(Myzus_persicae)
GCF_000521545.1_ASM52154v1	Proteobacteria	Gammaproteobacteria	Buchnera	aphidicola_str._W106_(Myzus_persicae)
GCF_000521565.1_ASM52156v1	Proteobacteria	Gammaproteobacteria	Buchnera	aphidicola_str._G002_(Myzus_persicae)
GCF_000521585.1_ASM52158v1	Proteobacteria	Gammaproteobacteria	Buchnera	aphidicola_str._F009_(Myzus_persicae)
GCF_000521605.1_ASM52160v1	Proteobacteria	Gammaproteobacteria	Mannheimia	sp._USDA-ARS-USMARC-1261
GCF_000521645.1_ASM52164v1	Proteobacteria	Betaproteobacteria	Burkholderia	pseudomallei_MSHR146
GCF_000521655.1_ASM52165v1	Proteobacteria	Gammaproteobacteria	Mannheimia	varigena_USDA-ARS-USMARC-1296
GCF_000521685.1_ASM52168v1	Proteobacteria	Gammaproteobacteria	Mannheimia	varigena_USDA-ARS-USMARC-1388
GCF_000521695.1_ASM52169v1	Proteobacteria	Gammaproteobacteria	Mannheimia	varigena_USDA-ARS-USMARC-1312
GCF_000521725.1_ASM52172v1	Proteobacteria	Gammaproteobacteria	Bibersteinia	trehalosi_USDA-ARS-USMARC-188
GCF_000521745.1_ASM52174v1	Proteobacteria	Gammaproteobacteria	Bibersteinia	trehalosi_USDA-ARS-USMARC-189
GCF_000521765.1_ASM52176v1	Proteobacteria	Gammaproteobacteria	Bibersteinia	trehalosi_USDA-ARS-USMARC-190
GCF_000522545.2_ASM52254v2	Proteobacteria	Betaproteobacteria	Paraburkholderia	caribensis_MBA4
GCF_000522985.1_ASM52298v1	FCB group	Gemmatimonadetes	Gemmatirosa	kalamazoonesis
GCF_000523045.1_ASM52304v1	Terrabacteria group	Firmicutes	Bacillus	subtilis_BEST7003
GCF_000523235.1_ASM52323v1	Terrabacteria group	Actinobacteria	Nocardia	nova_SH22a
GCF_000524555.1_ASM52455v1	Terrabacteria group	Tenericutes	Mycoplasma	bovoculi_M165/69
GCF_000524575.1_ASM52457v1	Proteobacteria	Gammaproteobacteria	Francisella	tularensis_subsp._holarctica_PHIT-FT049
GCF_000524595.1_ASM52459v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	aeruginosa_YL84
GCF_000525635.1_ASM52563v1	Terrabacteria group	Actinobacteria	Kutzneria	albida_DSM_43870
GCF_000525675.1_ASM52567v1	Proteobacteria	Oligoflexia	Bdellovibrio	bacteriovorus_W
GCF_000525715.1_ASM52571v1	Terrabacteria group	Firmicutes	Lactobacillus	helveticus_H9
GCF_000530755.1_W_O_volvulus_Cameroon_v3	Proteobacteria	Alphaproteobacteria	Wolbachia	endosymbiont_of_Onchocerca_volvulus_str._Cameroon
GCF_000534935.2_ASM53493v2	Terrabacteria group	Firmicutes	Bacillus	anthracis
GCF_000550745.1_ASM55074v1	Terrabacteria group	Firmicutes	Enterococcus	faecalis_DENG1
GCF_000550765.1_ASM55076v1	Proteobacteria	Alphaproteobacteria	Komagataeibacter	xylinus_E25
GCF_000550785.1_ASM55078v1	Terrabacteria group	Actinobacteria	Corynebacterium	casei_LMG_S-19264
GCF_000550805.1_ASM55080v1	Terrabacteria group	Actinobacteria	Corynebacterium	vitaeruminis_DSM_20294
GCF_000565155.1_ASM56515v1	Terrabacteria group	Firmicutes	Listeria	ivanovii_WSLC3009
GCF_000565175.1_ASM56517v1	Terrabacteria group	Tenericutes	Spiroplasma	culicicola_AES-1
GCF_000565195.1_ASM56519v1	Terrabacteria group	Tenericutes	Spiroplasma	mirum_ATCC_29335
GCF_000565215.1_ASM56521v1	Terrabacteria group	Tenericutes	Spiroplasma	sabaudiense_Ar-1343
GCF_000567905.1_ASM56790v1	Proteobacteria	Betaproteobacteria	Burkholderia	thailandensis_H0587
GCF_000567925.1_ASM56792v1	Proteobacteria	Betaproteobacteria	Burkholderia	thailandensis_2002721723
GCF_000567945.1_ASM56794v1	Proteobacteria	Betaproteobacteria	Burkholderia	thailandensis_E444
GCF_000568455.1_ASM56845v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_USA300-ISMMS1
GCF_000568475.1_ASM56847v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_WSLC1001
GCF_000568495.1_ASM56849v1	Proteobacteria	Gammaproteobacteria	Vibrio	parahaemolyticus_UCM-V493
GCF_000568815.1_ASM56881v1	Proteobacteria	delta/epsilon subdivisions	Sulfurospirillum	multivorans_DSM_12446
GCF_000568855.2_ASM56885v2	Proteobacteria	Gammaproteobacteria	Pseudomonas	aeruginosa_PAK
GCF_000568935.1_ASM56893v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_WSLC1042
GCF_000568955.1_ASM56895v1	Terrabacteria group	Actinobacteria	Bifidobacterium	breve_12L
GCF_000568975.1_ASM56897v1	Terrabacteria group	Actinobacteria	Bifidobacterium	breve_JCM_7017
GCF_000569015.1_ASM56901v1	Terrabacteria group	Actinobacteria	Bifidobacterium	breve_JCM_7019
GCF_000569035.1_ASM56903v1	Terrabacteria group	Actinobacteria	Bifidobacterium	breve_NCFB_2258
GCF_000569055.1_ASM56905v1	Terrabacteria group	Actinobacteria	Bifidobacterium	breve_689b
GCF_000569075.1_ASM56907v1	Terrabacteria group	Actinobacteria	Bifidobacterium	breve_S27
GCF_000572125.1_ASM57212v1	Terrabacteria group	Actinobacteria	Mycobacterium	tuberculosis_HKBS1
GCF_000572155.1_ASM57215v1	Terrabacteria group	Actinobacteria	Mycobacterium	tuberculosis_BT2
GCF_000572175.1_ASM57217v1	Terrabacteria group	Actinobacteria	Mycobacterium	tuberculosis_BT1
GCF_000572195.1_ASM57219v1	Terrabacteria group	Actinobacteria	Mycobacterium	tuberculosis_CCDC5180
GCF_000576085.2_ASM57608v2	Proteobacteria	Alphaproteobacteria	Granulibacter	bethesdensis
GCF_000576125.1_ASM57612v1	Proteobacteria	Alphaproteobacteria	Zymomonas	mobilis_subsp._mobilis_NRRL_B-12526
GCF_000576145.2_ASM57614v2	Proteobacteria	Alphaproteobacteria	Granulibacter	bethesdensis_CGDNIH4
GCF_000576165.1_ASM57616v1	Proteobacteria	Alphaproteobacteria	Zymomonas	mobilis_subsp._mobilis_str._CP4_=_NRRL_B-14023
GCF_000576185.2_ASM57618v2	Proteobacteria	Alphaproteobacteria	Granulibacter	bethesdensis
GCF_000576555.1_ASM57655v1	FCB group	Bacteroidetes/Chlorobi group	Hymenobacter	swuensis_DY53
GCF_000577745.1_6179_18022011	Terrabacteria group	Firmicutes	Listeria	monocytogenes_6179
GCF_000577895.1_M2_40	Terrabacteria group	Firmicutes	Clostridium	bornimense
GCF_000582515.1_ASM58251v1	Proteobacteria	Gammaproteobacteria	Yersinia	similis
GCF_000582535.1_ASM58253v1	Terrabacteria group	Tenericutes	Candidatus	Hepatoplasma_crinochetorum_Av
GCF_000582555.1_ASM58255v1	Proteobacteria	Gammaproteobacteria	Thalassolituus	oleivorans_R6-15
GCF_000582665.1_ASM58266v1	Terrabacteria group	Firmicutes	Lactobacillus	paracasei_N1115
GCF_000583065.1_ASM58306v1	Terrabacteria group	Firmicutes	Bacillus	velezensis_TrigoCor1448
GCF_000583105.1_ASM58310v1	Terrabacteria group	Firmicutes	Bacillus	anthracis_str._SVA11
GCF_000583755.1_ASM58375v1	Proteobacteria	delta/epsilon subdivisions	Campylobacter	coli_RM1875
GCF_000583795.1_ASM58379v1	Proteobacteria	delta/epsilon subdivisions	Campylobacter	coli_RM5611
GCF_000583835.1_ASM58383v1	Proteobacteria	Betaproteobacteria	Burkholderia	pseudomallei_MSHR520
GCF_000583855.1_ASM58385v1	Proteobacteria	Alphaproteobacteria	Gluconobacter	oxydans_DSM_3504
GCF_000583875.1_ASM58387v1	PVC group	Chlamydiae	Chlamydia	avium_10DC88
GCF_000585995.1_ASM58599v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	brassicacearum
GCF_000590455.1_ASM59045v1	Terrabacteria group	Firmicutes	Bacillus	pumilus
GCF_000590475.1_ASM59047v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	stutzeri
GCF_000590495.2_ASM59049v2	Proteobacteria	Betaproteobacteria	Pandoraea	pnomenusa_3kgm
GCF_000590555.1_ASM59055v1	Terrabacteria group	Actinobacteria	Corynebacterium	argentoratense_DSM_44202
GCF_000590575.1_ASM59057v1	PVC group	Chlamydiae	Chlamydia	trachomatis
GCF_000590615.1_ASM59061v1	PVC group	Chlamydiae	Chlamydia	trachomatis
GCF_000590635.1_ASM59063v1	PVC group	Chlamydiae	Chlamydia	trachomatis_F/11-96
GCF_000590675.1_ASM59067v1	PVC group	Chlamydiae	Chlamydia	trachomatis
GCF_000590755.1_ASM59075v1	PVC group	Chlamydiae	Chlamydia	trachomatis
GCF_000590795.1_ASM59079v1	Proteobacteria	Alphaproteobacteria	Brucella	ceti_TE10759-12
GCF_000590865.2_ASM59086v2	Proteobacteria	Alphaproteobacteria	Candidatus	Liberibacter_asiaticus
GCF_000590925.1_ASM59092v1	Proteobacteria	Alphaproteobacteria	Roseibacterium	elongatum_DSM_19469
GCF_000597785.2_ASM59778v2	Proteobacteria	Gammaproteobacteria	Hafnia	alvei_FB1
GCF_000597845.1_ASM59784v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli
GCF_000597865.1_ASM59786v1	Terrabacteria group	Firmicutes	Peptoclostridium	acidaminophilum_DSM_3953
GCF_000597885.1_ASM59788v1	FCB group	Bacteroidetes/Chlorobi group	Flammeovirgaceae	bacterium_311
GCF_000597905.1_ASM59790v1	Proteobacteria	Gammaproteobacteria	Klebsiella	pneumoniae_30684/NJST258_2
GCF_000597945.1_ASM59794v2	Proteobacteria	Gammaproteobacteria	Yersinia	enterocolitica_LC20
GCF_000597965.1_ASM59796v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus
GCF_000597985.1_ASM59798v1	Terrabacteria group	Firmicutes	Paenibacillus	polymyxa_SQR-21
GCF_000598005.1_ASM59800v1	Proteobacteria	Gammaproteobacteria	Klebsiella	pneumoniae_30660/NJST258_1
GCF_000599625.1_ASM59962v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli
GCF_000599645.1_ASM59964v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli
GCF_000599665.1_ASM59966v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli
GCF_000599685.1_ASM59968v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli
GCF_000599705.1_ASM59970v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli
GCF_000599985.1_ASM59998v1	Proteobacteria	Gammaproteobacteria	Gilliamella	apicola
GCF_000600005.1_ASM60000v1	Proteobacteria	Betaproteobacteria	Snodgrassella	alvi_wkB2
GCF_000600015.1_ASM60001v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes
GCF_000600045.1_ASM60004v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_oki102
GCF_000600055.1_ASM60005v1	Proteobacteria	Alphaproteobacteria	Brucella	suis_bv._1_str._S2
GCF_000600085.1_ASM60008v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_oki112
GCF_000600105.1_ASM60010v1	Terrabacteria group	Firmicutes	Lysinibacillus	varians
GCF_000600125.1_ASM60012v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_oki128
GCF_000600145.1_ASM60014v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_oki154
GCF_000600165.1_ASM60016v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_oki422
GCF_000600185.1_ASM60018v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_oki673
GCF_000600205.1_ASM60020v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_oki828
GCF_000600225.1_ASM60022v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_oki898
GCF_000604045.1_ASM60404v1	Proteobacteria	Gammaproteobacteria	Aggregatibacter	actinomycetemcomitans_HK1651
GCF_000604065.3_ASM60406v3	Proteobacteria	Betaproteobacteria	Pandoraea	pnomenusa
GCF_000604105.1_ASM60410v1	Terrabacteria group	Firmicutes	Lactobacillus	plantarum_DOMLa
GCF_000604125.1_ASM60412v1	Spirochaetes	Spirochaetia	Treponema	pallidum_subsp._pallidum_str._Sea_81-4
GCF_000612055.1_ASM61205v1	Terrabacteria group	Actinobacteria	Trueperella	pyogenes
GCF_000612075.2_ASM61207v2	Proteobacteria	Gammaproteobacteria	Aeromonas	hydrophila_YL17
GCF_000612325.1_ASM61232v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis
GCF_000612505.1_ASM61250v1	Terrabacteria group	Firmicutes	Paenibacillus	sabinae_T27
GCF_000612685.1_scf7180000000004	Proteobacteria	Betaproteobacteria	Castellaniella	defragrans_65Phen
GCF_000612765.1_PRJEB5998_assembly_1	Proteobacteria	Alphaproteobacteria	Bartonella	henselae
GCF_000612965.1_PRJEB4971_assembly_1	Proteobacteria	Alphaproteobacteria	Bartonella	henselae
GCF_000613085.1_R479A_18022011	Terrabacteria group	Firmicutes	Listeria	monocytogenes_R479a
GCF_000619905.2_ASM61990v2	Proteobacteria	Betaproteobacteria	Nitrosospira	briensis_C-128
GCF_000623055.1_ASM62305v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20121175
GCF_000623095.1_ASM62309v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20121178
GCF_000623115.2_ASM62311v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20121179
GCF_000623135.1_ASM62313v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20121180
GCF_000623195.2_ASM62319v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20120005
GCF_000623275.1_ASM62327v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110361
GCF_000623295.1_ASM62329v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110360
GCF_000623315.1_ASM62331v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110359
GCF_000623335.1_ASM62333v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110358
GCF_000623355.1_ASM62335v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110357
GCF_000623375.1_ASM62337v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110356
GCF_000623395.2_ASM62339v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA19981857
GCF_000623455.2_ASM62345v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA19992322
GCF_000623475.1_ASM62347v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA19994216
GCF_000623615.2_ASM62361v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA19960848
GCF_000623655.2_ASM62365v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA19970510
GCF_000623675.2_ASM62367v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA19970769
GCF_000623715.2_ASM62371v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA19980677
GCF_000623735.2_ASM62373v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA19981522
GCF_001007105.1_CV14	PVC group	Chlamydiae	Chlamydia	pneumoniae
GCF_000624055.2_ASM62405v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA20094352
GCF_000624175.1_ASM62417v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20121177
GCF_000624395.2_ASM62439v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20120002
GCF_000625855.1_ASM62585v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._SA20082034
GCF_000626095.2_ASM62609v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20120200
GCF_000626175.1_ASM62617v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110354
GCF_000626195.1_ASM62619v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20120008
GCF_000626215.1_ASM62621v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20100101
GCF_000626235.1_ASM62623v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110221
GCF_000626255.1_ASM62625v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20090698
GCF_000626275.2_ASM62627v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20090641
GCF_000626295.1_ASM62629v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20110355
GCF_000626335.1_ASM62633v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20111175
GCF_000626355.1_ASM62635v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20111174
GCF_000626375.1_ASM62637v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20111095
GCF_000626595.1_ASM62659v1	Proteobacteria	Betaproteobacteria	Neisseria	meningitidis
GCF_000626615.2_ASM62661v3	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus
GCF_000626635.1_ASM62663v1	FCB group	Bacteroidetes/Chlorobi group	Draconibacterium	orientale
GCF_000626675.1_ASM62667v1	Terrabacteria group	Actinobacteria	Corynebacterium	glyciniphilum_AJ_3170
GCF_000626695.2_ASM62669v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._EC20100325
GCF_000632395.1_ASM63239v1	Proteobacteria	Gammaproteobacteria	Enterobacter	asburiae_L1
GCF_000632415.1_ASM63241v1	Proteobacteria	Gammaproteobacteria	Klebsiella	michiganensis_HKOPL1
GCF_000632475.1_ASM63247v2	Proteobacteria	Alphaproteobacteria	Azospirillum	brasilense
GCF_000632815.1_ASM63281v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	chaffeensis_str._Heartland
GCF_000632845.1_ASM63284v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	sp._HF
GCF_000632865.1_ASM63286v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	chaffeensis_str._Jax
GCF_000632885.1_ASM63288v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	chaffeensis_str._Liberty
GCF_000632905.1_ASM63290v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	chaffeensis_str._Osceola
GCF_000632925.1_ASM63292v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	chaffeensis_str._Saint_Vincent
GCF_000632945.1_ASM63294v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	chaffeensis_str._Wakulla
GCF_000632965.1_ASM63296v1	Proteobacteria	Alphaproteobacteria	Ehrlichia	chaffeensis_str._West_Paces
GCF_000632985.1_ASM63298v1	Proteobacteria	Alphaproteobacteria	Neorickettsia	helminthoeca_str._Oregon
GCF_000633175.1_ASM63317v1	Proteobacteria	Gammaproteobacteria	Aeromonas	hydrophila_AL09-71
GCF_000635895.2_ASM63589v2	Terrabacteria group	Firmicutes	Bacillus	cereus
GCF_000635915.2_ASM63591v2	Proteobacteria	Alphaproteobacteria	Brevundimonas	naejangsanensis
GCF_000635955.1_ASM63595v1	Proteobacteria	Gammaproteobacteria	Aeromonas	hydrophila_pc104A
GCF_000636135.1_ASM63613v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Typhimurium
GCF_000648235.2_ASM64823v2	PVC group	Chlamydiae	Neochlamydia	sp._S13
GCF_000648515.1_ASM64851v1	Proteobacteria	Gammaproteobacteria	Citrobacter	freundii_CFNIH1
GCF_000648735.3_ASM64873v3	Proteobacteria	Gammaproteobacteria	Pseudomonas	syringae_pv._actinidiae_ICMP_18884
GCF_000661895.1_ASM66189v1	Terrabacteria group	Actinobacteria	Rubrobacter	radiotolerans
GCF_000661915.1_ASM66191v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	stutzeri
GCF_000662395.1_ASM66239v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_O145:H28_str._RM12761
GCF_000671295.1_ASM67129v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_O145:H28_str._RM12581
