,group,subgroup,genus,species_strain,group_id,subgroup_id,genus_id,species_strain_id
GCF_000286815.1,Terrabacteria group,Tenericutes,Mycoplasma,gallisepticum_NC08_2008.031-4-3P,20,36,617,1931
GCF_000287215.2,Proteobacteria,Gammaproteobacteria,Aeromonas,media_WS,16,25,36,2715
GCF_000292405.1,Terrabacteria group,Tenericutes,Mycoplasma,genitalium_M2321,20,36,617,1968
GCF_000292415.1,Terrabacteria group,Firmicutes,Bacillus,cereus_FRI-35,20,23,113,896
GCF_000292445.1,Terrabacteria group,Tenericutes,Mycoplasma,genitalium_M6282,20,36,617,1969
GCF_000292455.1,Terrabacteria group,Firmicutes,Bacillus,thuringiensis_HD-771,20,23,113,5436
GCF_000292485.1,Terrabacteria group,Tenericutes,Mycoplasma,genitalium_M6320,20,36,617,1970
GCF_000292505.1,Terrabacteria group,Tenericutes,Mycoplasma,genitalium_M2288,20,36,617,1967
GCF_000292705.1,Terrabacteria group,Firmicutes,Bacillus,thuringiensis_HD-789,20,23,113,5437
GCF_000292915.1,Proteobacteria,Betaproteobacteria,Burkholderia,cepacia_GG4,16,7,153,880
GCF_000293765.1,Terrabacteria group,Firmicutes,Bacillus,subtilis_QB928,20,23,113,5213
GCF_000293885.2,Proteobacteria,Gammaproteobacteria,Pseudomonas,fluorescens_NCIMB_11764,16,25,776,1844
GCF_000294365.1,Proteobacteria,Gammaproteobacteria,Klebsiella,pneumoniae_subsp._pneumoniae_1084,16,25,465,3514
GCF_000294495.1,Terrabacteria group,Firmicutes,Streptococcus,suis_S735,20,23,921,5256
GCF_000294515.1,Terrabacteria group,Actinobacteria,Nocardiopsis,alba_ATCC_BAA-2165,20,2,645,170
GCF_000294535.1,Proteobacteria,Gammaproteobacteria,Pectobacterium,carotovorum_subsp._carotovorum_PCC21,16,25,711,833
GCF_000294635.1,Proteobacteria,Betaproteobacteria,Burkholderia,pseudomallei_BPC006,16,7,153,3639
GCF_000294695.2,Terrabacteria group,Actinobacteria,Arthrobacter,sp._Rue61a,20,2,95,4898
GCF_000294775.2,Terrabacteria group,Firmicutes,Bacillus,oceanisediminis_2691,20,23,113,3100
GCF_000295655.1,FCB group,Bacteroidetes/Chlorobi group,Riemerella,anatipestifer_RA-CH-1,11,6,814,284
GCF_000296215.2,Proteobacteria,Alphaproteobacteria,Bradyrhizobium,sp._CCGE-LA001,16,3,143,4344
GCF_000296575.1,Spirochaetes,Spirochaetia,Brachyspira,pilosicoli_B2904,17,34,141,3400
GCF_000296595.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_08BA02176,20,23,912,461
GCF_000296715.2,Terrabacteria group,Firmicutes,Brevibacillus,brevis_X23,20,23,147,714
GCF_000297055.2,Proteobacteria,Betaproteobacteria,Sulfuricella,denitrificans_skB26,16,7,928,1276
GCF_000297075.2,Proteobacteria,Gammaproteobacteria,Pseudomonas,pseudoalcaligenes_CECT_5344,16,25,776,3620
GCF_000298095.1,Terrabacteria group,Actinobacteria,Mycobacterium,intracellulare_subsp._intracellulare_MTCC_9506,20,2,613,2335
GCF_000298115.2,Terrabacteria group,Firmicutes,Lactobacillus,buchneri_subsp._silagei_CD034,20,23,487,729
GCF_000298415.1,PVC group,Chlamydiae,Chlamydia,psittaci_GR9,15,11,187,3697
GCF_000298435.2,PVC group,Chlamydiae,Chlamydia,psittaci_MN,15,11,187,3699
GCF_000298475.2,PVC group,Chlamydiae,Chlamydia,psittaci_WS/RT/E30,15,11,187,3702
GCF_000298495.2,PVC group,Chlamydiae,Chlamydia,psittaci_M56,15,11,187,3698
GCF_000298515.2,PVC group,Chlamydiae,Chlamydia,psittaci_WC,15,11,187,3701
GCF_000298555.2,PVC group,Chlamydiae,Chlamydia,psittaci_NJ1,15,11,187,3700
GCF_000298875.1,Terrabacteria group,Firmicutes,Leuconostoc,gelidum_JB7,20,23,509,1964
GCF_000299015.1,Terrabacteria group,Firmicutes,Streptococcus,pneumoniae_gamPNI0373,20,23,921,3511
GCF_000299135.1,Terrabacteria group,Firmicutes,Streptococcus,agalactiae_GD201008-001,20,23,921,146
GCF_000299235.1,Nitrospirae,Nitrospira,Leptospirillum,ferriphilum_ML-04,14,31,505,1792
GCF_000299255.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_O104:H4_str._2009EL-2050,16,25,316,1075
GCF_000299335.2,Proteobacteria,Gammaproteobacteria,Alcanivorax,pacificus_W11-5,16,25,46,3185
GCF_000299355.1,Terrabacteria group,Firmicutes,Gottschalkia,acidurici_9a,20,23,387,58
GCF_000299435.1,Terrabacteria group,Firmicutes,Exiguobacterium,antarcticum_B7,20,23,321,329
GCF_000299455.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_O104:H4_str._2011C-3493,16,25,316,1077
GCF_000299475.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_O104:H4_str._2009EL-2071,16,25,316,1076
GCF_000299955.1,Proteobacteria,Gammaproteobacteria,Alteromonas,macleodii_str._'English_Channel_673',16,25,61,2616
GCF_000299965.1,Proteobacteria,Gammaproteobacteria,Cycloclasticus,sp._P1,16,25,238,4775
GCF_000299995.1,Proteobacteria,Gammaproteobacteria,Alteromonas,macleodii_str._'Black_Sea_11',16,25,61,2615
GCF_000300005.1,Proteobacteria,Gammaproteobacteria,Alcanivorax,dieselolei_B5,16,25,46,1305
GCF_000300045.1,Spirochaetes,Spirochaetia,Borreliella,garinii_NMJW1,17,34,138,1952
GCF_000300095.1,Proteobacteria,Betaproteobacteria,Paraburkholderia,phenoliruptrix_BR3459a,16,7,692,3367
GCF_000300135.1,Terrabacteria group,Firmicutes,Leuconostoc,carnosum_JB16,20,23,509,828
GCF_000300175.1,Proteobacteria,Gammaproteobacteria,Alteromonas,macleodii_str._'Balearic_Sea_AD45',16,25,61,2614
GCF_000300235.2,Proteobacteria,Alphaproteobacteria,Thalassospira,xiamenensis_M-5_=_DSM_17429,16,3,966,5806
GCF_000300295.4,Proteobacteria,Gammaproteobacteria,Piscirickettsia,salmonis_LF-89_=_ATCC_VR-1361,16,25,739,4020
GCF_000300455.3,Proteobacteria,Gammaproteobacteria,Kosakonia,sacchari_SP1,16,25,470,3974
GCF_000300475.1,Terrabacteria group,Firmicutes,Bacillus,thuringiensis_MC28,20,23,113,5440
GCF_000302515.1,Terrabacteria group,Actinobacteria,Cutibacterium,acnes_C1,20,2,233,63
GCF_000302535.1,Proteobacteria,Betaproteobacteria,Acidovorax,sp._KKS102,16,7,19,4586
GCF_000302555.5,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni_subsp._jejuni_PT14,16,43,165,2392
GCF_000302575.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii_TYTH-1,16,25,20,593
GCF_000304215.1,Terrabacteria group,Actinobacteria,Bifidobacterium,asteroides_PRL2011,20,2,129,431
GCF_000304315.1,Proteobacteria,Alphaproteobacteria,Methylocystis,sp._SC2,16,3,569,4915
GCF_000304495.1,PVC group,Chlamydiae,Chlamydia,trachomatis_E/SW3,15,11,187,5482
GCF_000304515.1,PVC group,Chlamydiae,Chlamydia,trachomatis_F/SW4,15,11,187,5484
GCF_000304535.1,PVC group,Chlamydiae,Chlamydia,trachomatis_F/SW5,15,11,187,5485
GCF_000304735.1,Spirochaetes,Spirochaetia,Borreliella,afzelii_HLJ01,17,34,138,136
GCF_000305775.1,Terrabacteria group,Firmicutes,Dehalobacter,sp._DCA,20,23,246,4391
GCF_000305785.2,Proteobacteria,Gammaproteobacteria,Simiduia,agarivorans_SA1_=_DSM_21679,16,25,880,156
GCF_000305815.1,Terrabacteria group,Firmicutes,Dehalobacter,sp._CF,20,23,246,4355
GCF_000305935.1,Terrabacteria group,Firmicutes,Thermacetogenium,phaeum_DSM_12270,20,23,969,3356
GCF_000306675.2,Spirochaetes,Spirochaetia,Leptospira,mayottensis_200901116,17,34,504,2699
GCF_000306745.1,Terrabacteria group,Firmicutes,Bacillus,thuringiensis_Bt407,20,23,113,5435
GCF_000306785.1,Terrabacteria group,Actinobacteria,Modestobacter,marinus,20,2,598,2665
GCF_000306805.1,Terrabacteria group,Firmicutes,Streptococcus,intermedius_JTH08,20,23,921,2320
GCF_000306825.1,Terrabacteria group,Actinobacteria,Corynebacterium,ulcerans_0102,20,2,222,5629
GCF_000306845.1,Proteobacteria,Gammaproteobacteria,Legionella,pneumophila_subsp._pneumophila,16,25,496,3533
GCF_000306865.1,Proteobacteria,Gammaproteobacteria,Legionella,pneumophila_subsp._pneumophila,16,25,496,3533
GCF_000306885.1,Proteobacteria,Alphaproteobacteria,Wolbachia,endosymbiont_of_Onchocerca_ochengi,16,3,1043,1399
GCF_000306905.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_SLCC2540,20,23,515,2889
GCF_000306945.1,Proteobacteria,Betaproteobacteria,Bordetella,pertussis_18323,16,7,136,3320
GCF_000306985.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_SLCC7179,20,23,515,2892
GCF_000307005.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_SLCC2479,20,23,515,2888
GCF_000307025.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_ATCC_19117,20,23,515,2872
GCF_000307045.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_SLCC5850,20,23,515,2891
GCF_000307065.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_SLCC2376,20,23,515,2886
GCF_000307085.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_L312,20,23,515,2881
GCF_000307105.1,Proteobacteria,delta/epsilon subdivisions,Desulfobacula,toluolica_Tol2,16,43,263,5462
GCF_000307125.1,Terrabacteria group,Firmicutes,Clostridium,botulinum_B_str._Eklund_17B_(NRP),20,23,207,668
GCF_000307165.1,Terrabacteria group,Firmicutes,Amphibacillus,xylanus_NBRC_15112,20,23,66,5813
GCF_000307185.1,Terrabacteria group,Firmicutes,Streptococcus,dysgalactiae_subsp._equisimilis_RE378,20,23,921,1366
GCF_000307535.1,Terrabacteria group,Firmicutes,Streptococcus,pyogenes_A20,20,23,921,3820
GCF_000307615.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_SLCC2378,20,23,515,2887
GCF_000307795.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,pylori_26695,16,43,418,3755
GCF_000307815.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,pylori_Rif1,16,43,418,3794
GCF_000307835.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,pylori_Rif2,16,43,418,3795
GCF_000309565.2,Terrabacteria group,Firmicutes,Lactobacillus,casei_12A,20,23,487,835
GCF_000309885.1,Terrabacteria group,Deinococcus-Thermus,Thermus,oshimai_JL-2,20,18,995,3161
GCF_000310065.1,Terrabacteria group,Actinobacteria,Acidipropionibacterium,acidipropionici_ATCC_4875,20,2,14,48
GCF_000310085.1,Proteobacteria,Gammaproteobacteria,Alteromonas,mediterranea_DE1,16,25,61,2719
GCF_000310105.2,Proteobacteria,Gammaproteobacteria,Pseudoalteromonas,sp._Bsw20308,16,25,770,4325
GCF_000311765.1,Proteobacteria,Alphaproteobacteria,Gluconobacter,oxydans_H24,16,3,382,3179
GCF_000312685.1,Terrabacteria group,Firmicutes,Lactococcus,lactis_subsp._cremoris_UC509.9,20,23,488,2470
GCF_000312705.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Anabaena,sp._90,20,15,68,4221
GCF_000313175.2,Spirochaetes,Spirochaetia,Leptospira,santarosai_serovar_Shermani_str._LT_821,17,34,504,4030
GCF_000313385.1,Proteobacteria,Gammaproteobacteria,Francisella,tularensis_subsp._holarctica_F92,16,25,348,5582
GCF_000313635.1,Terrabacteria group,Tenericutes,Mycoplasma,hyorhinis_SK76,20,36,617,2253
GCF_000315955.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,pylori_Aklavik117,16,43,418,3764
GCF_000316175.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,sp._UW4,16,25,776,5012
GCF_000316515.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobium,gracile_PCC_6307,20,15,235,2052
GCF_000316575.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Calothrix,sp._PCC_7507,20,15,164,4831
GCF_000316605.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Leptolyngbya,sp._PCC_7376,20,15,503,4825
GCF_000316625.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Nostoc,sp._PCC_7107,20,15,649,4817
GCF_000316645.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Nostoc,sp._PCC_7524,20,15,649,4832
GCF_000316665.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Rivularia,sp._PCC_7116,20,15,816,4819
GCF_000316685.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Synechococcus,sp._PCC_6312,20,15,942,4809
GCF_000317025.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Pleurocapsa,sp._PCC_7327,20,15,747,4823
GCF_000317045.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Geitlerinema,sp._PCC_7407,20,15,359,4826
GCF_000317065.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Pseudanabaena,sp._PCC_7367,20,15,768,4824
GCF_000317085.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Synechococcus,sp._PCC_7502,20,15,942,4830
GCF_000317105.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Oscillatoria,acuminata_PCC_6304,20,15,676,79
GCF_000317125.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Chroococcidiopsis,thermalis_PCC_7203,20,15,198,5372
GCF_000317305.3,Terrabacteria group,Actinobacteria,Mycolicibacterium,neoaurum_VKM_Ac-1815D,20,2,616,3040
GCF_000317435.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Calothrix,sp._PCC_6303,20,15,164,4808
GCF_000317475.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Oscillatoria,nigro-viridis_PCC_7112,20,15,676,3051
GCF_000317495.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Crinalium,epipsammum_PCC_9333,20,15,224,1687
GCF_000317515.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Microcoleus,sp._PCC_7113,20,15,587,4818
GCF_000317555.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Gloeocapsa,sp._PCC_7428,20,15,379,4829
GCF_000317575.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Stanieria,cyanosphaera_PCC_7437,20,15,911,1219
GCF_000317615.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Dactylococcopsis,salina_PCC_8305,20,15,241,4001
GCF_000317635.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Halothece,sp._PCC_7418,20,15,414,4827
GCF_000317675.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacterium,aponinum_PCC_10605,20,15,234,386
GCF_000317695.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Anabaena,cylindrica_PCC_7122,20,15,68,1221
GCF_000317835.1,Terrabacteria group,Deinococcus-Thermus,Deinococcus,peraridilitoris_DSM_19664,20,18,250,3307
GCF_000317855.1,Terrabacteria group,Firmicutes,Streptococcus,dysgalactiae_subsp._equisimilis_AC-2713,20,23,921,1363
GCF_000317875.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,pylori_Aklavik86,16,43,418,3765
GCF_000317895.1,Proteobacteria,Oligoflexia,Bdellovibrio,bacteriovorus_str._Tiberius,16,32,122,553
GCF_000317915.1,Terrabacteria group,Firmicutes,Enterococcus,faecalis_str._Symbioflor_1,20,23,309,1747
GCF_000317935.1,Proteobacteria,Betaproteobacteria,Bordetella,parapertussis_Bpp5,16,7,136,3239
GCF_000317955.1,Proteobacteria,Betaproteobacteria,Bordetella,bronchiseptica_MO149,16,7,136,723
GCF_000317975.2,Terrabacteria group,Firmicutes,Carnobacterium,maltaromaticum_LMA28,20,23,171,2636
GCF_000318015.1,Proteobacteria,Betaproteobacteria,Bordetella,bronchiseptica_253,16,7,136,722
GCF_000318035.1,Terrabacteria group,Firmicutes,Lactobacillus,casei_W56,20,23,487,839
GCF_000318055.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_serotype_4b_str._LL195,20,23,515,2934
GCF_000318525.1,PVC group,Chlamydiae,Chlamydia,trachomatis_A/363,15,11,187,5468
GCF_000318565.1,PVC group,Chlamydiae,Chlamydia,trachomatis_A/7249,15,11,187,5469
GCF_000318645.1,PVC group,Chlamydiae,Chlamydia,trachomatis_E/Bour,15,11,187,5481
GCF_000318765.1,PVC group,Chlamydiae,Chlamydia,trachomatis_Ia/SotonIa1,15,11,187,5490
GCF_000318785.1,PVC group,Chlamydiae,Chlamydia,trachomatis_Ia/SotonIa3,15,11,187,5491
GCF_000318825.1,PVC group,Chlamydiae,Chlamydia,trachomatis_L1/440/LN,15,11,187,5495
GCF_000318845.1,PVC group,Chlamydiae,Chlamydia,trachomatis_L1/115,15,11,187,5493
GCF_000318865.1,PVC group,Chlamydiae,Chlamydia,trachomatis_L1/224,15,11,187,5494
GCF_000318885.1,PVC group,Chlamydiae,Chlamydia,trachomatis_L2/25667R,15,11,187,5496
GCF_000318905.1,PVC group,Chlamydiae,Chlamydia,trachomatis_L2b/8200/07,15,11,187,5500
GCF_000318925.1,PVC group,Chlamydiae,Chlamydia,trachomatis_L2b/UCH-2,15,11,187,5502
GCF_000318985.1,PVC group,Chlamydiae,Chlamydia,trachomatis_L2b/795,15,11,187,5499
GCF_000319105.1,PVC group,Chlamydiae,Chlamydia,trachomatis_L3/404/LN,15,11,187,5504
GCF_000319475.1,Terrabacteria group,Firmicutes,Bacillus,velezensis_AS43.3,20,23,113,5694
GCF_000319575.2,Proteobacteria,Gammaproteobacteria,Spiribacter,salinus_M19-40,16,25,903,4003
GCF_000319655.2,Terrabacteria group,Tenericutes,Mycoplasma,pneumoniae_PO1,20,36,617,3496
GCF_000319675.2,Terrabacteria group,Tenericutes,Mycoplasma,pneumoniae_PI_1428,20,36,617,3495
GCF_000320385.2,Proteobacteria,Alphaproteobacteria,Sinorhizobium,meliloti_GR4,16,3,886,2752
GCF_000321395.1,Terrabacteria group,Firmicutes,Bacillus,subtilis_subsp._subtilis_str._BSP1,20,23,113,5227
GCF_000321415.2,Proteobacteria,Gammaproteobacteria,Thioalkalivibrio,nitratireducens_DSM_14787,16,25,996,3055
GCF_000325665.1,Spirochaetes,Spirochaetia,Brachyspira,pilosicoli_P43/6/78,17,34,141,3401
GCF_000325705.1,FCB group,Bacteroidetes/Chlorobi group,Echinicola,vietnamensis_DSM_17526,11,6,295,5725
GCF_000325725.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,putida_HB3267,16,25,776,3736
GCF_000325745.1,Proteobacteria,Alphaproteobacteria,Liberibacter,crescens_BT-1,16,3,510,1181
GCF_000327045.1,Proteobacteria,Gammaproteobacteria,Thioflavicoccus,mobilis_8321,16,25,1000,2848
GCF_000327065.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,stutzeri_RCH2,16,25,776,5198
GCF_000328405.1,Proteobacteria,Gammaproteobacteria,Vibrio,parahaemolyticus_BB22OP,16,25,1031,3224
GCF_000328545.1,Terrabacteria group,Firmicutes,Thermoanaerobacterium,thermosaccharolyticum_M0795,20,23,974,5418
GCF_000328565.1,Terrabacteria group,Actinobacteria,Mycobacterium,sp._JS623,20,2,613,4566
GCF_000328625.1,Terrabacteria group,Firmicutes,Halobacteroides,halobius_DSM_5150,20,23,407,2101
GCF_000967115.2,Terrabacteria group,Firmicutes,Clostridium,tetani_12124569,20,23,207,5354
GCF_000328705.1,Terrabacteria group,Actinobacteria,Saccharothrix,espanaensis_DSM_44229,20,2,839,1713
GCF_000328725.1,Terrabacteria group,Tenericutes,Mycoplasma,cynos_C142,20,36,617,1224
GCF_000328765.2,Terrabacteria group,Firmicutes,Tepidanaerobacter,acetatoxydans_Re1,20,23,958,24
GCF_000329365.2,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Enteritidis_str._CDC_2010K_0968,16,25,856,1471
GCF_000330485.2,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Pullorum_str._ATCC_9120,16,25,856,1605
GCF_000330865.1,Proteobacteria,Gammaproteobacteria,Serratia,sp._FGI94,16,25,872,4448
GCF_000330885.1,Proteobacteria,Alphaproteobacteria,Rhizobium,tropici_CIAT_899,16,3,798,5537
GCF_000331085.3,Terrabacteria group,Tenericutes,Mycoplasma,pneumoniae_M129-B7,20,36,617,3489
GCF_000331165.2,Terrabacteria group,Actinobacteria,Mycolicibacterium,smegmatis_MKD8,20,2,616,4104
GCF_000331445.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis_7199-99,20,2,613,5546
GCF_000331695.1,FCB group,Bacteroidetes/Chlorobi group,Riemerella,anatipestifer_RA-CH-2,11,6,814,285
GCF_000331715.1,Proteobacteria,delta/epsilon subdivisions,Lawsonia,intracellularis_N343,16,43,493,2338
GCF_000331735.1,Proteobacteria,delta/epsilon subdivisions,Myxococcus,stipitatus_DSM_14675,16,43,619,5185
GCF_000331995.1,Terrabacteria group,Firmicutes,Thermoclostridium,stercorarium_subsp._stercorarium_DSM_8532,20,23,979,5180
GCF_000332115.1,FCB group,Bacteroidetes/Chlorobi group,Nonlabens,dokdonensis_DSW-6,11,6,647,1340
GCF_000332735.1,Terrabacteria group,Firmicutes,Staphylococcus,warneri_SG1,20,23,912,5779
GCF_000332755.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_APEC_O78,16,25,316,1040
GCF_000334405.1,FCB group,Bacteroidetes/Chlorobi group,Blattabacterium,sp._(Blatta_orientalis)_str._Tarazona,11,6,133,4137
GCF_000334515.1,Proteobacteria,Gammaproteobacteria,Klebsiella,aerogenes_EA1509E,16,25,465,91
GCF_000334875.2,Terrabacteria group,Firmicutes,Bacillus,megaterium_NCT-2,20,23,113,2737
GCF_000335875.2,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Enteritidis_str._18569,16,25,856,1469
GCF_000335995.2,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Gallinarum_str._9184,16,25,856,1513
GCF_000336405.1,Terrabacteria group,Firmicutes,Enterococcus,faecium_ATCC_8459_=_NRRL_B-2354,20,23,309,1750
GCF_000336425.1,Proteobacteria,Gammaproteobacteria,Serratia,marcescens_WW4,16,25,872,2650
GCF_000336445.1,Terrabacteria group,Firmicutes,Geobacillus,sp._GHH01,20,23,367,4475
GCF_000336465.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,poae_RE*1-1-14,16,25,776,3540
GCF_000338095.1,Terrabacteria group,Actinobacteria,Corynebacterium,urealyticum_DSM_7111,20,2,222,5647
GCF_000338115.2,Terrabacteria group,Firmicutes,Lactobacillus,plantarum_ZJ316,20,23,487,3429
GCF_000338715.2,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis_variant_bovis_BCG_str._Korea_1168P,20,2,613,5574
GCF_000338735.1,Terrabacteria group,Firmicutes,Bacillus,subtilis_XF-1,20,23,113,5215
GCF_000338755.1,Terrabacteria group,Firmicutes,Bacillus,thuringiensis_serovar_kurstaki_str._HD73,20,23,113,5449
GCF_000339015.1,Proteobacteria,Gammaproteobacteria,Cronobacter,sakazakii_SP291,16,25,228,3990
GCF_000340435.2,Terrabacteria group,Actinobacteria,Mycobacterium,haemophilum_DSM_44634,20,2,613,2094
GCF_000340785.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Synechocystis,sp._PCC_6803,20,15,943,4811
GCF_000340845.1,Terrabacteria group,Actinobacteria,Streptomyces,hygroscopicus_subsp._jinggangensis_TL01,20,2,923,2232
GCF_000340885.1,Terrabacteria group,Firmicutes,Clostridium,saccharoperbutylacetonicum_N1-4(HMT),20,23,207,3981
GCF_000341345.1,Terrabacteria group,Actinobacteria,Corynebacterium,halotolerans_YIM_70093_=_DSM_44683,20,2,222,2117
GCF_000341355.1,Proteobacteria,Alphaproteobacteria,Bartonella,australis_Aust/NH1,16,3,118,513
GCF_000341385.1,Proteobacteria,Alphaproteobacteria,Bartonella,vinsonii_subsp._berkhoffii_str._Winnie,16,3,118,5733
GCF_000341395.1,Proteobacteria,delta/epsilon subdivisions,Desulfocapsa,sulfexigens_DSM_10523,16,43,265,5271
GCF_000341425.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Javiana_str._CFSAN001992,16,25,856,1532
GCF_000341465.2,Proteobacteria,Betaproteobacteria,Bordetella,holmesii_F627,16,7,136,2174
GCF_000341485.2,Proteobacteria,Betaproteobacteria,Bordetella,holmesii_H558,16,7,136,2175
GCF_000341655.1,Terrabacteria group,Chloroflexi,Dehalococcoides,mccartyi_DCMB5,20,12,248,2708
GCF_000341665.1,Terrabacteria group,Firmicutes,Bacillus,thuringiensis_serovar_thuringiensis_str._IS5056,20,23,113,5452
GCF_000341695.1,Terrabacteria group,Chloroflexi,Dehalococcoides,mccartyi_BTF08,20,12,248,2703
GCF_000341855.1,Aquificae,Aquificae,Hydrogenobaculum,sp._HO,1,4,431,4509
GCF_000341875.1,Terrabacteria group,Firmicutes,Bacillus,velezensis_UCMB5036,20,23,113,5702
GCF_000344335.2,Proteobacteria,Gammaproteobacteria,Pseudomonas,syringae_pv._actinidiae_ICMP_9853,16,25,776,5300
GCF_000344355.2,Proteobacteria,Gammaproteobacteria,Pseudomonas,syringae_pv._actinidiae_ICMP_18708,16,25,776,5298
GCF_000344475.3,Proteobacteria,Gammaproteobacteria,Pseudomonas,syringae_pv._actinidiae_str._Shaanxi_M228,16,25,776,5301
GCF_000344575.1,Terrabacteria group,Firmicutes,Lactococcus,lactis_subsp._lactis_IO-1,20,23,488,2473
GCF_000344745.1,Terrabacteria group,Firmicutes,Bacillus,subtilis_subsp._subtilis_6051-HGW,20,23,113,5223
GCF_000344765.1,Terrabacteria group,Firmicutes,Streptococcus,suis_SC070731,20,23,921,5257
GCF_000344785.1,Terrabacteria group,Actinobacteria,Corynebacterium,callunae_DSM_20147,20,2,222,771
GCF_000344805.1,Proteobacteria,Alphaproteobacteria,Bradyrhizobium,oligotrophicum_S58,16,3,143,3123
GCF_000346065.1,Proteobacteria,Alphaproteobacteria,Sinorhizobium,meliloti_2011,16,3,886,2749
GCF_000346225.2,Proteobacteria,Gammaproteobacteria,Pseudomonas,sp._Lz4W,16,25,776,4637
GCF_000347595.1,Proteobacteria,Gammaproteobacteria,Bibersteinia,trehalosi_USDA-ARS-USMARC-192,16,25,128,5524
GCF_000347615.1,Proteobacteria,Gammaproteobacteria,Legionella,pneumophila_subsp._pneumophila_LPE509,16,25,496,3535
GCF_000347635.1,Proteobacteria,Gammaproteobacteria,Paraglaciecola,psychrophila_170,16,25,697,3708
GCF_000347675.2,Proteobacteria,Alphaproteobacteria,Sphingomonas,sp._MM-1,16,3,899,4681
GCF_000347695.1,Terrabacteria group,Actinobacteria,Bifidobacterium,thermophilum_RBL67,20,2,129,5398
GCF_000348565.1,Proteobacteria,Gammaproteobacteria,Edwardsiella,piscicida_C07-087,16,25,297,3412
GCF_000348585.1,Proteobacteria,Gammaproteobacteria,Xanthomonas,axonopodis_Xac29-1,16,25,1046,537
GCF_000348725.1,Proteobacteria,Oligoflexia,Bdellovibrio,exovorus_JSS,16,32,122,1732
GCF_000348745.1,Proteobacteria,Alphaproteobacteria,Micavibrio,aeruginosavorus_EPB,16,3,582,125
GCF_000348765.2,Aquificae,Aquificae,Hydrogenobaculum,sp._SN,1,4,431,4945
GCF_000348805.1,FCB group,Bacteroidetes/Chlorobi group,Blattabacterium,cuenoti_BPAA,11,6,133,1201
